id,artist,lastfm_artist_bio
1,ABBA,"ABBA is a Swedish pop group formed in Stockholm in  1972 by Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad. The group's name is an acronym of the first letters of their first names. They became one of the most commercially successful acts in the history of popular music, topping the charts worldwide from 1974 to 1982. ABBA won the Eurovision Song Contest 1974 at The Dome in Brighton, UK, giving Sweden its first triumph in the contest. They are the most successful group to have taken part in the competition. Read more on Last.fm"
2,Ace Of Base,"Swedish pop group Ace of Base was formed in Göteborg, Sweden  in 1990.

The band's original lineup consisted of Ulf Ekberg (Buddha), and siblings Jonas Berggren (Joker), Linn Berggren and Jenny Berggren; the two Berggren sisters left in 2007 and 2009 respectively, and were replaced with  Clara Hagman and Julia Williamson.

Ace Of Base broke through internationally in 1993 with the hit 'All That She Wants' and one year later with 'The Sign' worldwide. Read more on Last.fm"
3,Adam Sandler,"Adam Richard Sandler (born September 9, 1966 in Brooklyn, New York) is an American comedian, actor, musician, screenwriter and film producer. After becoming a Saturday Night Live cast member in 1991, he went on to star in several Hollywood feature films that have grossed over US$100 million at the box office. He released his first album, They're All Gonna Laugh at You!, in 1993 and it recieved a a Grammy award nomination for Best Comedy Album. He has since released 1996's What the Hell Happened to Me? Read more on Last.fm"
4,Adele,"Adele Laurie Blue Adkins MBE (born May 5, 1988) is an English singer and songwriter. After graduating in arts from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and spawned the UK top-five singles ""Chasing Pavements"" and ""Make You Feel My Love"". The album was certified 8× platinum in the UK and triple platinum in the US. Adele was honoured with the Brit Award for Rising Star as well as the Grammy Award for Best New Artist. Read more on Last.fm"
5,Aerosmith,"Aerosmith is an American rock band formed in Boston, Massachusetts, in 1970. The group consists of lead vocalist Steven Tyler, bassist Tom Hamilton, drummer Joey Kramer, and guitarists Joe Perry and Brad Whitford. Their musical style is primarily rooted in blues-based hard rock and also incorporates elements of pop rock, heavy metal, glam metal, and rhythm and blues. The band’s primary songwriting partnership between Tyler and Perry is often referred to as the Toxic Twins. Read more on Last.fm"
6,Air Supply,"Air Supply is an Australian soft rock duo, consisting of Graham Russell as guitarist and singer-songwriter and Russell Hitchcock as lead vocalist. They had a succession of hits worldwide, including eight Top Ten hits in the United States, in the early 1980s. They formed in Melbourne, Australia in 1975 and have included various accompanying musicians and singers.

The two met in May 1975 while performing in the Australian production of the Andrew Lloyd Webber/Tim Rice musical, Jesus Christ Superstar. Read more on Last.fm"
7,Aiza Seguerra,"Ice (formerly Aiza) Seguerra (born 17 September 1983) is a Filipino actor, singer-songwriter and guitarist.

Seguera started his career as a child comedian. After a colorful TV stint, he penned one of the country's most memorable ditties, ""Pagdating ng Panahon."" He began to identify publicly as a trans man in 2017, changing his name to Ice and requesting that others refer to him by male pronouns only.

2009	AIZA SEGUERRA: Live!
2008	Open Arms
2007	Para Lang Sa'Yo Read more on Last.fm"
8,Alabama,"Alabama is a country music band from Fort Payne, Alabama. The band has over 41 #1 country records on the Billboard charts to their credit and have sold over 75 million records, making them the most successful band in country music history. AllMusic credited the band with popularizing the idea of a country band and wrote that ""It's unlikely that any other country group will be able to surpass the success of Alabama.""

The band was founded by Randy Owen (lead vocals, rhythm guitar) and his cousin Teddy Gentry (bass, backing vocals). Read more on Last.fm"
9,Alan Parsons Project,"Please fix your tags:

The Alan parsons project


Born in Britain on 20 December 1948, Alan soon found that his interests lay in music. He studied piano and flute as a child and was always intrigued by gadgetry. He picked up the guitar in his early teens and played as a soloist as well as with various bands at school. 

One of his first jobs was at an EMI tape duplication facility in West London. At this time he was fortunate enough to experience the master tape of the Beatles Sgt. Read more on Last.fm"
10,Aled Jones,"Aled Jones, (born 29 December 1970, St David's Hospital, Bangor, Wales) is a Welsh singer, Christian and television personality who first came to fame as a boy soprano. He is the only child of Nest and Derek Jones, and was raised in a Welsh-speaking community in the small Anglesey village of Llandegfan.

He is best known for singing ""Walking in the Air"", the song from Channel 4's animated film ""The Snowman"", based on the book by Raymond Briggs. The song reached No. Read more on Last.fm"
11,Alice Cooper,"Alice Cooper (born Vincent Damon Furnier, February 4, 1948) is an American rock singer whose career spans over five decades. With a raspy voice and a stage show that features numerous props and stage illusions, including pyrotechnics, guillotines, electric chairs, fake blood, reptiles, baby dolls, and dueling swords, Cooper is considered by many music journalists and peers to be ""The Godfather of Shock Rock"". He has drawn equally from horror films Read more on Last.fm"
12,Alice In Chains,"Alice in Chains is an American grunge/alternative metal band from Seattle, Washington, formed in 1987 by guitarist/vocalist Jerry Cantrell and drummer Sean Kinney, who then recruited bassist Mike Starr and lead vocalist Layne Staley. Starr was replaced by Mike Inez in 1993. William DuVall joined the band in 2006 as co-lead vocalist and rhythm guitarist, replacing Staley, who died in 2002. The band took its name from Staley's previous group, the glam metal band Alice N' Chains. Read more on Last.fm"
