id,api_id,artist_name,artist_bio,followers
1,33385,ABBA,"ABBA are one of the most successful pop outfits in history. Their blend of lush orchestrations and light, bouncy europop was both unique and commercially appealing, taking much of the world by storm.The band name is a member-centric acronym – Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad.Their meteoric rise was sparked by their famed Eurovision performance of their original song “Waterloo”, which won the 1974 competition in Sweden.In the eight years that followed, the group achieved legendary success, with eight consecutive number-one albums and nine chart-topping singles in the UK alone. ABBA also topped the pop charts at least once in nine other countries overseas. Their success in the US was also impressive with 20 songs appearing on on the Billboard 100 in their brief 8-year tenure.In their first five years, ABBA barely toured with  Andersson claiming the band had performed live no more than two dozen times before embarking on their only international tour in 1979.Their later years were marred by personal issues – the group, built on the back of two relationships, strained under two subsequent divorce proceedings. Their last studio album, The Visitors, explored darker issues through bleak and intensely personal lyricism. The group dissipated the following year.Beyond their hit singles, ABBA have been immortalized in the ultra-successful Broadway musical and subsequent film Mamma Mia, inspiring a 2018 reunion that included releasing their first new material in over 35 years with the Grammy-nominated “I Still Have Faith In You” and “Don’t Shut Me Down” – a #1 song in both Sweden and Switzerland.",394
2,1179781,Fendi Kush,?,1
3,31376,Naughty Boy,"Shahid Khan (born 1 January 1985), often credited by his artist and production name Naughty Boy, is a British DJ, songwriter, record producer and musician. In 2012, Khan signed a three-year publishing deal with Sony ATV, as well as a recording contract to release one album under Virgin EMI Records. Khan launched himself as a record producer under the moniker “Naughty Boy” and now runs a production company called Naughty Boy Recordings.",39
4,1304558,Abbalbisk,"Abbalbisk (Сергей), родился 22 июня 1996 г.Баттл-рэпер родом из Санкт-Петербурга.Участвовал на таких площадках как Versus, MIB, RBL, SLOVO, #SLOVOSPB.На последней, во втором сезоне одержал финальную, и, не в малом, спорную победу над Корифеем.Контакты:• Страница ВК• Группа ВК",7
5,357695,Melanie Doane,?,0
6,1996840,Corina (ROU),?,1
7,114783,Taco Hemingway,"Filip Tadeusz Szcześniak (ur. 29 lipca 1990 roku w Kairze), znany też jako Taco Hemingway lub Fifi to polski raper, autor tekstów, muzyk oraz laureat trzech Fryderyków, uznawany także za najpopularniejszego MC w naszym kraju w drugiej dekadzie XXI w. Ukończył on liceum im. Mikołaja Kopernika, oraz Kulturoznawstwo na Uniwersytecie Warszawskim. W 2012 roku podjął również studia magisterskie na wydziale antropologii Uniwersytetu Londyńskiego.Swoją karierę muzyczną Szcześniak rozpoczął już w 2011 roku wydając dokładniej w sierpniu swój pierwszy mixtape, Who Killed JFK? pod pseudonimem Foodvillain (lub też FV). Po przyjęciu swojego obecnego pseudonimu scenicznego raper wypuścił pod koniec 2013 roku swoją debiutancką EP-kę, Young Hems w języku angielskim, jednakże rok później rozgłos przyniósł mu drugi minialbum zawierający utwory w języku ojczystym, Trójkąt warszawski. Projekt, opisany jako “album koncepcyjny”, przedstawiający historię bohatera szukającego tropów po swojej ex i jej nowej, drugiej połówce, Piotrze znalazł się w pierwszej trójce notowania OLiS, pokrył się on złotą płytą za sprzedaż na poziomie 15 tys. kopii, zdobył pozytywne opinie od krytyków, a także jest do dziś nazywany tzw. magnum opus w karierze rapera.Ciepło przyjęto również trzeci materiał Hemingwaya z 2015 roku, Umowa o dzieło z której pochodzą faworyty jego fanów, tj. “6 zer” czy “Następna stacja”, a także został zwycięzcą Fryderyka za najlepszy album hip-hop. Czwarta EP-ka, WOSK zwiastowała jego debiutancki album studyjny, Marmur, wypuszczony na rynek na początku listopada 2016 roku.Zmiany w kierunku muzycznym Filipa zaszły w 2017 roku, kiedy to ukazał światu swój piąty minialbum, Szprycer nie otrzymując po krótkim czasie pozytywnych opinii, ze względu na szczególnie auto-tune i wzorowanie się na amerykańskiej odmianie trapu, a za to osiągając sukces komercyjny – uplasował się na samym szczycie listy sprzedaży albumów w Polsce i pokryto go platyną.2018 rok przyniósł Hemingway'owi największe osiągnięcia, tak jak założenie wraz z Quebonafide duetu TACONAFIDE, wydaniu razem kultowego longplay'a, Soma 0,5 mg i hitu “Tamagotchi” wraz z kontrowersyjnym teledyskiem, a samo nagranie szybko zawładnęło stacjami radiowymi, oraz pobiło rekord debiutanckiego kawałka, “Art-B"" (wydanego kilka dni wcześniej) w kategorii najczęściej słuchanego singla w Polsce w serwisie Spotify w ciągu tygodnia. Po zyskaniu ogromnej popularności Szcześniak nie zwolnił wtem tempa wydając niespodziewanie w lipcu swoje drugie, solowe wydawnictwo, Café Belga wraz z szóstym minialbumem Flagey, które było notowane trzeci raz z rzędu na miejscu pierwszym listy OLiS, a także był 11. najlepiej sprzedającym się albumem na terenie Polski w 2018 roku.W maju 2019 roku ujawniono szczególne informacje na temat wspólnego koncertu rapera z Dawidem Podsiadło, który odbędzie się 28 września br. Tego samego miesiąca zostało potwierdzone, że obaj z nich stali się pierwszymi artystami, którzy wyprzedali Stadion Narodowy w Warszawie w zaledwie 5 minut.16 lipca 2019 roku Szcześniak ujawnił okładkę, tytuł oraz listę utworów swojego trzeciego albumu studyjnego, POCZTÓWKA Z WWA, LATO ‘19, która przedtem miała być wydana całkowicie 9 sierpnia 2019 roku. Jednakże tydzień później, dokładniej we wtorek, 23 lipca, wszystkie nagrania pochodzące z płyty zostały niespodziewanie dodane na oficjalny kanał rapera w serwisie YouTube.Krążek po swojej premierze w wersji fizycznej, zawierającej dwa dodatkowe utwory, “WIELKI GATSBY Z BENZYNOWEJ STACJI” i “ALGORYTM” stał się czwartym materiałem artysty, który dotarł na miejsce pierwsze listy sprzedaży OLiS.Pokrył się on także złotą płytą za sprzedaż na poziomie 15 tys. kopii na terenie Polski.W lipcu 2020 roku raper wspólnie z grupą Pro8l3m założył wydawnictwo muzyczne noszące nazwę “2020”.10 lipca 2020 roku, dzień przed cisza wyborczą, ukazuje się singiel pt. „Polskie tango”, który przedstawia polską mentalność, wyraża zmartwienie stanem kraju i nawiązuje do sytuacji politycznej w Polsce, krytykując ją. Raper otwarcie w utworze skrytykował rządzącą partię Prawo i Sprawiedliwość.Singiel jest zapowiedzią albumu pt. Jarmark, zapowiedzianego na lato 2020 roku. Singiel pobił dzienny rekord odtworzeń w Polsce na Spotify, który poprzednio również należał do jego utworu „W piątki leżę w wannie”, zdobywając przy tym ponad 560 tys. odtworzeń.W serwisie YouTube zdobył ponad 2,5 mln. wyświetleń w 24h od publikacji również bijąc rekord.28 lipca raper za pomocą serwisu Instagram ogłosił że premiera płyt została przesunięta z lipca na przełom sierpnia/września. 29 lipca 2020 w urodziny rapera wyszedł singel „Michael Essien Birthday Party”, zapowiadając nowy album pt. Europa, który wraz z Jarmarkiem wyjdzie 4 września 2020. Tego samego dnia ruszyła również przedsprzedaż albumów.28 sierpnia 2020 roku raper znów niespodziewanie wydał album pt. Jarmark, udostępniając go w serwisach streamingowych oraz za darmo do pobrania na swojej stronie internetowej.",1280
8,376518,Soen,"Soen is a Swedish progressive metal supergroup consisting of various high-profile extreme metal musicians. Initially formed in 2004, it was in May 2010 that the formation of Soen was announced.SOEN are:Oleksii “Zlatoyar” Kobel – BassCody Ford – GuitarLars Åhlund – Keys, guitarJoel Ekelöf – VocalsMartin Lopez – Drums, percussion",42
9,24261,Dizzy (Germany),?,4
10,368889,Mike Mangione,?,0
